t,h,dx,dy,X,Y,FPS
7.7298,74.00,0.00,0.00,0.00,0.00,43
7.7641,74.00,0.00,0.00,0.00,0.00,41
7.7838,74.00,0.00,0.00,0.00,0.00,42
7.8215,74.00,0.00,0.00,0.00,0.00,41
7.8385,74.00,0.00,0.00,0.00,0.00,42
7.8674,74.00,0.00,0.00,0.00,0.00,42
7.8828,74.00,0.00,0.00,0.00,0.00,44
7.9132,74.00,0.00,0.00,0.00,0.00,43
7.9291,74.00,0.00,0.00,0.00,0.00,45
7.9723,74.00,0.00,0.00,0.00,0.00,43
8.0462,74.00,0.00,0.00,0.00,0.00,40
8.0671,74.00,0.00,0.00,0.00,0.00,40
8.0859,74.00,0.00,0.00,0.00,0.00,42
8.1106,74.00,0.00,0.00,0.00,0.00,41
8.1272,74.00,0.00,0.00,0.00,0.00,43
8.1592,74.00,0.00,0.00,0.00,0.00,42
8.1869,74.00,0.00,0.00,0.00,0.00,41
8.2050,74.00,0.00,0.00,0.00,0.00,43
8.2399,74.00,0.00,0.00,0.00,0.00,41
8.2770,74.00,0.00,0.00,0.00,0.00,40
8.3009,74.00,0.00,0.00,0.00,0.00,40
8.3173,74.00,0.00,0.00,0.00,0.00,42
8.3517,74.00,0.00,0.00,0.00,0.00,41
8.3934,74.00,0.00,0.00,0.00,0.00,39
8.4335,74.00,0.00,0.00,0.00,0.00,37
8.4726,74.00,0.00,0.00,0.00,0.00,36
8.5130,74.00,0.00,0.00,0.00,0.00,35
8.5351,74.00,0.00,0.00,0.00,0.00,36
8.5511,74.00,0.00,0.00,0.00,0.00,39
8.5852,74.00,0.00,0.00,0.00,0.00,38
8.6021,74.00,0.00,0.00,0.00,0.00,40
8.6375,74.00,0.00,0.00,0.00,0.00,39
8.6523,74.00,0.00,0.00,0.00,0.00,41
8.6842,74.00,0.00,0.00,0.00,0.00,40
8.6990,74.00,0.00,0.00,0.00,0.00,43
8.7294,74.00,0.00,0.00,0.00,0.00,42
8.7460,74.00,0.00,0.00,0.00,0.00,44
8.7910,74.00,0.00,0.00,0.00,0.00,42
8.8066,74.00,0.00,0.00,0.00,0.00,44
8.8365,74.00,0.00,0.00,0.00,0.00,43
8.8518,74.00,0.00,0.00,0.00,0.00,45
8.8840,74.00,0.00,0.00,0.00,0.00,43
8.8995,74.00,0.00,0.00,0.00,0.00,45
8.9452,74.00,0.00,0.00,0.00,0.00,43
8.9614,74.00,0.00,0.00,0.00,0.00,45
8.9920,74.00,0.00,0.00,0.00,0.00,44
9.0067,74.00,0.00,0.00,0.00,0.00,46
9.0359,74.00,0.00,0.00,0.00,0.00,45
9.0657,74.00,0.00,0.00,0.00,0.00,44
9.0954,74.00,0.00,0.00,0.00,0.00,43
9.1106,74.00,0.00,0.00,0.00,0.00,45
9.1418,74.00,0.00,0.00,0.00,0.00,43
9.1708,74.00,0.00,0.00,0.00,0.00,43
9.1886,74.00,0.00,0.00,0.00,0.00,44
9.2211,74.00,0.00,0.00,0.00,0.00,43
9.2513,74.00,0.00,0.00,0.00,0.00,42
9.2681,74.00,0.00,0.00,0.00,0.00,43
9.3019,74.00,0.00,0.00,0.00,0.00,42
9.3194,74.00,0.00,0.00,0.00,0.00,43
9.3547,74.00,0.00,0.00,0.00,0.00,42
9.3726,74.00,0.00,0.00,0.00,0.00,43
9.4082,74.00,0.00,0.00,0.00,0.00,42
9.4264,74.00,0.00,0.00,0.00,0.00,43
9.4575,74.00,0.00,0.00,0.00,0.00,42
9.4768,74.00,0.00,0.00,0.00,0.00,43
9.5093,74.00,0.00,0.00,0.00,0.00,41
9.5244,74.00,0.00,0.00,0.00,0.00,44
9.5582,74.00,0.00,0.00,0.00,0.00,42
9.5785,74.00,0.00,0.00,0.00,0.00,43
9.6157,74.00,0.00,0.00,0.00,0.00,41
9.6352,74.00,0.00,0.00,0.00,0.00,42
9.6654,74.00,0.00,0.00,0.00,0.00,41
9.6801,74.00,0.00,0.00,0.00,0.00,44
9.7099,74.00,0.00,0.00,0.00,0.00,43
9.7405,74.00,0.00,0.00,0.00,0.00,42
9.7563,74.00,0.00,0.00,0.00,0.00,44
9.7872,74.00,0.00,0.00,0.00,0.00,43
9.8189,74.00,0.00,0.00,0.00,0.00,42
9.8345,74.00,0.00,0.00,0.00,0.00,44
9.8687,74.00,0.00,0.00,0.00,0.00,42
9.8936,74.00,0.00,0.00,0.00,0.00,42
9.9366,74.00,0.00,0.00,0.00,0.00,40
9.9520,74.00,0.00,0.00,0.00,0.00,42
9.9679,74.00,0.00,0.00,0.00,0.00,44
10.0020,74.00,0.00,0.00,0.00,0.00,43
10.0358,74.00,0.00,0.00,0.00,0.00,42
10.0542,74.00,0.00,0.00,0.00,0.00,43
10.0947,74.00,0.00,0.00,0.00,0.00,41
10.1180,74.00,0.00,0.00,0.00,0.00,41
10.1359,74.00,0.00,0.00,0.00,0.00,43
10.1562,74.00,0.00,0.00,0.00,0.00,43
10.1886,74.00,0.00,0.00,0.00,0.00,42
10.2042,74.00,0.00,0.00,0.00,0.00,44
10.2343,74.00,0.00,0.00,0.00,0.00,43
10.2654,74.00,0.00,0.00,0.00,0.00,42
10.3000,74.00,0.00,0.00,0.00,0.00,40
10.3157,74.00,0.00,0.00,0.00,0.00,43
10.3463,74.00,0.00,0.00,0.00,0.00,42
10.3623,74.00,0.00,0.00,0.00,0.00,44
10.3933,74.00,0.00,0.00,0.00,0.00,43
10.4086,74.00,0.00,0.00,0.00,0.00,45
10.4530,74.00,0.00,0.00,0.00,0.00,42
10.4687,74.00,0.00,0.00,0.00,0.00,45
10.4989,74.00,0.00,0.00,0.00,0.00,43
10.5136,74.00,0.00,0.00,0.00,0.00,46
10.5432,74.00,0.00,0.00,0.00,0.00,45
10.5746,74.00,0.00,0.00,0.00,0.00,43
10.6048,74.00,0.00,0.00,0.00,0.00,42
10.6209,74.00,0.00,0.00,0.00,0.00,44
10.6524,74.00,0.00,0.00,0.00,0.00,43
10.6678,74.00,0.00,0.00,0.00,0.00,45
10.7120,74.00,0.00,0.00,0.00,0.00,43
10.7278,74.00,0.00,0.00,0.00,0.00,45
10.7573,74.00,0.00,0.00,0.00,0.00,44
10.7731,74.00,0.00,0.00,0.00,0.00,45
10.8032,74.00,0.00,0.00,0.00,0.00,44
10.8327,74.00,0.00,0.00,0.00,0.00,43
10.8632,74.00,0.00,0.00,0.00,0.00,42
10.8789,74.00,0.00,0.00,0.00,0.00,44
10.9081,74.00,0.00,0.00,0.00,0.00,43
10.9271,74.00,0.00,0.00,0.00,0.00,44
10.9570,74.00,0.00,0.00,0.00,0.00,43
10.9868,74.00,0.00,0.00,0.00,0.00,42
11.0174,74.00,0.00,0.00,0.00,0.00,41
11.0321,74.00,0.00,0.00,0.00,0.00,44
11.0648,74.00,0.00,0.00,0.00,0.00,42
11.0802,74.00,0.00,0.00,0.00,0.00,44
11.1113,74.00,0.00,0.00,0.00,0.00,43
11.1429,74.00,0.00,0.00,0.00,0.00,42
11.1726,74.00,0.00,0.00,0.00,0.00,41
11.1877,74.00,0.00,0.00,0.00,0.00,44
11.2173,74.00,0.00,0.00,0.00,0.00,43
11.2331,74.00,0.00,0.00,0.00,0.00,45
11.2658,74.00,0.00,0.00,0.00,0.00,43
11.2962,74.00,0.00,0.00,0.00,0.00,42
11.3270,74.00,0.00,0.00,0.00,0.00,41
11.3425,74.00,0.00,0.00,0.00,0.00,43
11.3732,74.00,0.00,0.00,0.00,0.00,42
11.3893,74.00,0.00,0.00,0.00,0.00,44
11.4201,74.00,0.00,0.00,0.00,0.00,43
11.4500,74.00,0.00,0.00,0.00,0.00,42
11.4795,74.00,0.00,0.00,0.00,0.00,41
11.4949,74.00,0.00,0.00,0.00,0.00,43
11.5248,74.00,0.00,0.00,0.00,0.00,42
11.5593,74.00,0.00,0.00,0.00,0.00,41
11.5745,74.00,0.00,0.00,0.00,0.00,43
11.6036,74.00,0.00,0.00,0.00,0.00,42
11.6361,74.00,0.00,0.00,0.00,0.00,41
11.6517,74.00,0.00,0.00,0.00,0.00,44
11.6829,74.00,0.00,0.00,0.00,0.00,42
11.6996,74.00,0.00,0.00,0.00,0.00,44
11.7300,74.00,0.00,0.00,0.00,0.00,43
