t,h,dx,dy,X,Y,FPS
5.8815,77.00,0.00,0.00,0.00,0.00,51
5.8959,77.00,0.00,0.00,0.00,0.00,51
5.9092,77.00,0.00,0.00,0.00,0.00,51
5.9241,77.00,0.00,0.00,0.00,0.00,51
5.9426,77.00,0.00,0.00,0.00,0.00,51
5.9906,77.00,0.00,0.00,0.00,0.00,51
6.0051,77.00,0.00,0.00,0.00,0.00,51
6.0172,77.00,0.00,0.00,0.00,0.00,52
6.0355,77.00,0.00,0.00,0.00,0.00,52
6.0516,77.00,0.00,0.00,0.00,0.00,52
6.0964,77.00,0.00,0.00,0.00,0.00,51
6.1160,77.00,0.00,0.00,0.00,0.00,51
6.1234,77.00,0.00,0.00,0.00,0.00,52
6.1413,77.00,0.00,0.00,0.00,0.00,52
6.1568,77.00,0.00,0.00,0.00,0.00,52
6.2076,77.00,0.00,0.00,0.00,0.00,52
6.2188,77.00,0.00,0.00,0.00,0.00,52
6.2361,77.00,0.00,0.00,0.00,0.00,53
6.2503,77.00,0.00,0.00,0.00,0.00,53
6.2690,77.00,0.00,0.00,0.00,0.00,53
6.3001,77.00,0.00,0.00,0.00,0.00,52
6.3272,77.00,0.00,0.00,0.00,0.00,52
6.3448,77.00,0.00,0.00,0.00,0.00,52
6.3558,77.00,0.00,0.00,0.00,0.00,53
6.3715,77.00,0.00,0.00,0.00,0.00,53
6.4057,77.00,0.00,0.00,0.00,0.00,53
6.4326,77.00,0.00,0.00,0.00,0.00,52
6.4514,77.00,0.00,0.00,0.00,0.00,52
6.4663,77.00,0.00,0.00,0.00,0.00,53
6.4808,77.00,0.00,0.00,0.00,0.00,53
6.5117,77.00,0.00,0.00,0.00,0.00,53
6.5411,77.00,0.00,0.00,0.00,0.00,52
6.5563,77.00,0.00,0.00,0.00,0.00,52
6.5736,77.00,0.00,0.00,0.00,0.00,53
6.5925,77.00,0.00,0.00,0.00,0.00,53
6.6223,77.00,0.00,0.00,0.00,0.00,52
6.6496,77.00,0.00,0.00,0.00,0.00,52
6.6628,77.00,0.00,0.00,0.00,0.00,52
6.6801,77.00,0.00,0.00,0.00,0.00,52
6.6954,77.00,0.00,0.00,0.00,0.00,53
6.7284,77.00,0.00,0.00,0.00,0.00,52
6.7589,77.00,0.00,0.00,0.00,0.00,52
6.7709,77.00,0.00,0.00,0.00,0.00,52
6.7882,77.00,0.00,0.00,0.00,0.00,52
